,Start date,Day-ahead Price (EUR/MWh)
0,2024-01-01 00:00:00+00:00,0.1
1,2024-01-01 00:15:00+00:00,0.1
2,2024-01-01 00:30:00+00:00,0.1
3,2024-01-01 00:45:00+00:00,0.1
4,2024-01-01 01:00:00+00:00,0.01
5,2024-01-01 01:15:00+00:00,0.01
6,2024-01-01 01:30:00+00:00,0.01
7,2024-01-01 01:45:00+00:00,0.01
8,2024-01-01 02:00:00+00:00,0.0
9,2024-01-01 02:15:00+00:00,0.0
10,2024-01-01 02:30:00+00:00,0.0
11,2024-01-01 02:45:00+00:00,0.0
12,2024-01-01 03:00:00+00:00,-0.01
13,2024-01-01 03:15:00+00:00,-0.01
14,2024-01-01 03:30:00+00:00,-0.01
15,2024-01-01 03:45:00+00:00,-0.01
16,2024-01-01 04:00:00+00:00,-0.03
17,2024-01-01 04:15:00+00:00,-0.03
18,2024-01-01 04:30:00+00:00,-0.03
19,2024-01-01 04:45:00+00:00,-0.03
20,2024-01-01 05:00:00+00:00,-0.02
21,2024-01-01 05:15:00+00:00,-0.02
22,2024-01-01 05:30:00+00:00,-0.02
23,2024-01-01 05:45:00+00:00,-0.02
24,2024-01-01 06:00:00+00:00,-0.05
25,2024-01-01 06:15:00+00:00,-0.05
26,2024-01-01 06:30:00+00:00,-0.05
27,2024-01-01 06:45:00+00:00,-0.05
28,2024-01-01 07:00:00+00:00,-0.02
29,2024-01-01 07:15:00+00:00,-0.02
30,2024-01-01 07:30:00+00:00,-0.02
31,2024-01-01 07:45:00+00:00,-0.02
32,2024-01-01 08:00:00+00:00,0.0
33,2024-01-01 08:15:00+00:00,0.0
34,2024-01-01 08:30:00+00:00,0.0
35,2024-01-01 08:45:00+00:00,0.0
36,2024-01-01 09:00:00+00:00,0.04
37,2024-01-01 09:15:00+00:00,0.04
38,2024-01-01 09:30:00+00:00,0.04
39,2024-01-01 09:45:00+00:00,0.04
40,2024-01-01 10:00:00+00:00,0.06
41,2024-01-01 10:15:00+00:00,0.06
42,2024-01-01 10:30:00+00:00,0.06
43,2024-01-01 10:45:00+00:00,0.06
44,2024-01-01 11:00:00+00:00,0.54
45,2024-01-01 11:15:00+00:00,0.54
46,2024-01-01 11:30:00+00:00,0.54
47,2024-01-01 11:45:00+00:00,0.54
48,2024-01-01 12:00:00+00:00,2.24
49,2024-01-01 12:15:00+00:00,2.24
50,2024-01-01 12:30:00+00:00,2.24
51,2024-01-01 12:45:00+00:00,2.24
52,2024-01-01 13:00:00+00:00,1.97
53,2024-01-01 13:15:00+00:00,1.97
54,2024-01-01 13:30:00+00:00,1.97
55,2024-01-01 13:45:00+00:00,1.97
56,2024-01-01 14:00:00+00:00,1.13
57,2024-01-01 14:15:00+00:00,1.13
58,2024-01-01 14:30:00+00:00,1.13
